Year,Institute,Opening Rank,Closing Rank
2023,Indian Institute of Technology Gandhinagar,1123,1555
2016,Indian Institute of Technology Gandhinagar,493,1805
2017,Indian Institute of Technology Gandhinagar,1100,1736
2018,Indian Institute of Technology Gandhinagar,956,1429
2019,Indian Institute of Technology Gandhinagar,1110,1520
2020,Indian Institute of Technology Gandhinagar,981,1448
2021,Indian Institute of Technology Gandhinagar,1245,1519
2022,Indian Institute of Technology Gandhinagar,1201,1366
2016,Indian Institute of Technology Goa,3003,5164
2017,Indian Institute of Technology Goa,3341,4570
2018,Indian Institute of Technology Goa,2904,3854
2019,Indian Institute of Technology Goa,2495,3794
2020,Indian Institute of Technology Goa,3098,4277
2021,Indian Institute of Technology Goa,3381,4104
2022,Indian Institute of Technology Goa,2538,3839
2023,Indian Institute of Technology Goa,3410,4232
2023,Indian Institute of Technology Guwahati,398,654
2016,Indian Institute of Technology Guwahati,406,666
2017,Indian Institute of Technology Guwahati,415,670
2018,Indian Institute of Technology Guwahati,333,554
2019,Indian Institute of Technology Guwahati,398,588
2020,Indian Institute of Technology Guwahati,425,588
2021,Indian Institute of Technology Guwahati,439,600
2022,Indian Institute of Technology Guwahati,415,589
2023,Indian Institute of Technology Hyderabad,374,674
2016,Indian Institute of Technology Hyderabad,418,879
2017,Indian Institute of Technology Hyderabad,522,975
2018,Indian Institute of Technology Hyderabad,445,777
2019,Indian Institute of Technology Hyderabad,203,616
2020,Indian Institute of Technology Hyderabad,222,584
2021,Indian Institute of Technology Hyderabad,191,521
2022,Indian Institute of Technology Hyderabad,368,608
2023,Indian Institute of Technology Indore,914,1385
2016,Indian Institute of Technology Indore,933,1411
2017,Indian Institute of Technology Indore,848,1499
2018,Indian Institute of Technology Indore,806,1130
2019,Indian Institute of Technology Indore,640,1047
2020,Indian Institute of Technology Indore,582,1222
2021,Indian Institute of Technology Indore,505,1228
2022,Indian Institute of Technology Indore,671,1204
2016,Indian Institute of Technology Jammu,4743,6219
2017,Indian Institute of Technology Jammu,2927,6246
2018,Indian Institute of Technology Jammu,3187,5400
2019,Indian Institute of Technology Jammu,3726,5236
2020,Indian Institute of Technology Jammu,3110,5218
2021,Indian Institute of Technology Jammu,3733,5238
2022,Indian Institute of Technology Jammu,3062,4602
2023,Indian Institute of Technology Jammu,3919,4856
2023,Indian Institute of Technology Jodhpur,1616,2408
2016,Indian Institute of Technology Jodhpur,699,2704
2017,Indian Institute of Technology Jodhpur,2051,3063
2018,Indian Institute of Technology Jodhpur,2423,2890
2019,Indian Institute of Technology Jodhpur,2209,3030
2020,Indian Institute of Technology Jodhpur,1442,2818
2021,Indian Institute of Technology Jodhpur,1525,2897
2022,Indian Institute of Technology Jodhpur,1319,2430
2023,Indian Institute of Technology Kanpur,124,238
2016,Indian Institute of Technology Kanpur,113,230
2017,Indian Institute of Technology Kanpur,107,206
2018,Indian Institute of Technology Kanpur,103,213
2019,Indian Institute of Technology Kanpur,95,216
2020,Indian Institute of Technology Kanpur,111,239
2021,Indian Institute of Technology Kanpur,115,216
2022,Indian Institute of Technology Kanpur,107,237
2023,Indian Institute of Technology Kharagpur,164,279
2016,Indian Institute of Technology Kharagpur,181,286
2017,Indian Institute of Technology Kharagpur,160,262
2018,Indian Institute of Technology Kharagpur,92,272
2019,Indian Institute of Technology Kharagpur,204,283
2020,Indian Institute of Technology Kharagpur,180,293
2021,Indian Institute of Technology Kharagpur,207,285
2022,Indian Institute of Technology Kharagpur,112,303
2023,Indian Institute of Technology Madras,42,148
2016,Indian Institute of Technology Madras,62,173
2017,Indian Institute of Technology Madras,26,177
2018,Indian Institute of Technology Madras,51,200
2019,Indian Institute of Technology Madras,90,188
2020,Indian Institute of Technology Madras,49,158
2021,Indian Institute of Technology Madras,85,163
2022,Indian Institute of Technology Madras,6,175
2023,Indian Institute of Technology Mandi,1426,2909
2016,Indian Institute of Technology Mandi,1701,2450
2017,Indian Institute of Technology Mandi,1696,2383
2018,Indian Institute of Technology Mandi,2012,2504
2019,Indian Institute of Technology Mandi,1384,2580
2020,Indian Institute of Technology Mandi,2042,2941
2021,Indian Institute of Technology Mandi,2136,3041
2022,Indian Institute of Technology Mandi,1846,3017
2023,Indian Institute of Technology Palakkad,3705,5162
2016,Indian Institute of Technology Palakkad,2818,4981
2017,Indian Institute of Technology Palakkad,3396,4718
2018,Indian Institute of Technology Palakkad,3228,4769
2019,Indian Institute of Technology Palakkad,3477,4501
2020,Indian Institute of Technology Palakkad,3916,4854
2021,Indian Institute of Technology Palakkad,4029,5227
2022,Indian Institute of Technology Palakkad,3301,4718
2023,Indian Institute of Technology Patna,1627,2811
2016,Indian Institute of Technology Patna,1541,2888
2017,Indian Institute of Technology Patna,1849,2998
2018,Indian Institute of Technology Patna,999,2681
2019,Indian Institute of Technology Patna,1127,2523
2020,Indian Institute of Technology Patna,1901,2719
2021,Indian Institute of Technology Patna,1849,2732
2022,Indian Institute of Technology Patna,1491,2685
2023,Indian Institute of Technology Roorkee,284,412
2016,Indian Institute of Technology Roorkee,294,482
2017,Indian Institute of Technology Roorkee,268,449
2018,Indian Institute of Technology Roorkee,278,416
2019,Indian Institute of Technology Roorkee,234,412
2020,Indian Institute of Technology Roorkee,255,422
2021,Indian Institute of Technology Roorkee,32,414
2022,Indian Institute of Technology Roorkee,271,413
2023,Indian Institute of Technology Ropar,1350,1859
2016,Indian Institute of Technology Ropar,898,1684
2017,Indian Institute of Technology Ropar,1027,1985
2018,Indian Institute of Technology Ropar,1315,1976
2019,Indian Institute of Technology Ropar,1082,1977
2020,Indian Institute of Technology Ropar,1329,1943
2021,Indian Institute of Technology Ropar,1032,1876
2022,Indian Institute of Technology Ropar,945,1883
2023,Indian Institute of Technology Tirupati,2089,3701
2016,Indian Institute of Technology Tirupati,2524,4539
2017,Indian Institute of Technology Tirupati,2932,4202
2018,Indian Institute of Technology Tirupati,2834,3702
2019,Indian Institute of Technology Tirupati,2749,3494
2020,Indian Institute of Technology Tirupati,1817,4117
